seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	762042	762071	30	*	X00001	643837	762971	794826	31856	+	899	upstream	899	LINC01128
chr1	762937	763086	150	*	X00002	643837	762971	794826	31856	+	0	overlapStart	0	LINC01128
chr1	762937	763086	150	*	X00002	79854	761586	762902	1317	-	34	upstream	34	LINC00115
chr1	860270	860419	150	*	X00012	148398	860530	879961	19432	+	110	upstream	110	SAMD11
chr1	894601	894685	85	*	X00025	339451	895967	901099	5133	+	1281	upstream	1281	KLHL17
chr1	894601	894685	85	*	X00025	26155	879583	894679	15097	-	0	overlapStart	0	NOC2L
chr1	895527	896055	529	*	X00026	339451	895967	901099	5133	+	0	overlapStart	0	KLHL17
chr1	895527	896055	529	*	X00026	26155	879583	894679	15097	-	847	upstream	847	NOC2L
chr1	901225	901408	184	*	X00028	84069	901877	910484	8608	+	468	upstream	468	PLEKHN1
chr1	919360	919449	90	*	X00034	84808	910579	917473	6895	-	1886	upstream	1886	PERM1
chr1	936696	936994	299	*	X00037	57801	934342	935552	1211	-	1143	upstream	1143	HES4
chr1	948638	948742	105	*	X00042	9636	948847	949919	1073	+	104	upstream	104	ISG15
chr1	954934	954958	25	*	X00044	375790	955503	991499	35997	+	544	upstream	544	AGRN
chr1	955458	955471	14	*	X00045	375790	955503	991499	35997	+	31	upstream	31	AGRN
chr1	1009828	1009907	80	*	X00079	401934	1007126	1009687	2562	-	140	upstream	140	RNF223
chr1	1009911	1010120	210	*	X00080	401934	1007126	1009687	2562	-	223	upstream	223	RNF223
chr1	1010703	1010792	90	*	X00081	401934	1007126	1009687	2562	-	1015	upstream	1015	RNF223
chr1	1051311	1051445	135	*	X00091	54991	1017198	1051736	34539	-	0	inside	290	C1orf159
chr1	1052286	1052489	204	*	X00092	54991	1017198	1051736	34539	-	549	upstream	549	C1orf159
chr1	1070323	1070454	132	*	X00096	254099	1072397	1079434	7038	+	1942	upstream	1942	LINC01342
chr1	1100535	1100684	150	*	X00112	406984	1102484	1102578	95	+	1799	upstream	1799	MIR200B
chr1	1101409	1101494	86	*	X00113	406984	1102484	1102578	95	+	989	upstream	989	MIR200B
chr1	1101409	1101494	86	*	X00113	406983	1103243	1103332	90	+	1748	upstream	1748	MIR200A
chr1	1101540	1101639	100	*	X00114	406984	1102484	1102578	95	+	844	upstream	844	MIR200B
chr1	1101540	1101639	100	*	X00114	406983	1103243	1103332	90	+	1603	upstream	1603	MIR200A
chr1	1103067	1103186	120	*	X00115	406983	1103243	1103332	90	+	56	upstream	56	MIR200A
chr1	1103067	1103186	120	*	X00115	554210	1104385	1104467	83	+	1198	upstream	1198	MIR429
chr1	1143647	1143651	5	*	X00122	8784	1138888	1142089	3202	-	1557	upstream	1557	TNFRSF18
chr1	1144013	1144174	162	*	X00123	8784	1138888	1142089	3202	-	1923	upstream	1923	TNFRSF18
chr1	1149311	1149321	11	*	X00127	7293	1146706	1149548	2843	-	0	inside	226	TNFRSF4
chr1	1182531	1182531	1	*	X00141	388581	1177826	1182102	4277	-	428	upstream	428	C1QTNF12
chr1	1209358	1209599	242	*	X00147	118424	1189292	1209234	19943	-	123	upstream	123	UBE2J2
chr1	1209863	1209967	105	*	X00148	118424	1189292	1209234	19943	-	628	upstream	628	UBE2J2
chr1	1210545	1210694	150	*	X00149	118424	1189292	1209234	19943	-	1310	upstream	1310	UBE2J2
chr1	1210875	1210963	89	*	X00150	118424	1189292	1209234	19943	-	1640	upstream	1640	UBE2J2
chr1	1242550	1242654	105	*	X00165	126789	1243994	1247057	3064	+	1339	upstream	1339	PUSL1
chr1	1243000	1243089	90	*	X00166	126789	1243994	1247057	3064	+	904	upstream	904	PUSL1
chr1	1243195	1243314	120	*	X00167	126789	1243994	1247057	3064	+	679	upstream	679	PUSL1
chr1	1244950	1245054	105	*	X00169	116983	1227764	1244989	17226	-	0	overlapStart	0	ACAP3
chr1	1246502	1246606	105	*	X00170	116983	1227764	1244989	17226	-	1512	upstream	1512	ACAP3
chr1	1246637	1246726	90	*	X00171	116983	1227764	1244989	17226	-	1647	upstream	1647	ACAP3
chr1	1259516	1259709	194	*	X00181	80772	1260143	1264276	4134	+	433	upstream	433	CPTP
chr1	1260131	1260265	135	*	X00182	80772	1260143	1264276	4134	+	0	overlapStart	0	CPTP
chr1	1260131	1260265	135	*	X00182	54973	1246965	1260067	13103	-	63	upstream	63	INTS11
chr1	1260310	1260414	105	*	X00183	80772	1260143	1264276	4134	+	0	inside	166	CPTP
chr1	1260310	1260414	105	*	X00183	54973	1246965	1260067	13103	-	242	upstream	242	INTS11
chr1	1261615	1261719	105	*	X00184	54973	1246965	1260067	13103	-	1547	upstream	1547	INTS11
chr1	1284445	1284594	150	*	X00194	1855	1270658	1284492	13835	-	0	overlapStart	0	DVL1
chr1	1285344	1285419	76	*	X00195	1855	1270658	1284492	13835	-	851	upstream	851	DVL1
chr1	1334266	1334385	120	*	X00208	148413	1334910	1337426	2517	+	524	upstream	524	MRPL20-AS1
chr1	1335755	1335874	120	*	X00209	81669	1321091	1334718	13628	-	1036	upstream	1036	CCNL2
chr1	1361130	1361249	120	*	X00212	643965	1361508	1363167	1660	+	258	upstream	258	TMEM88B
chr1	1361310	1361639	330	*	X00213	643965	1361508	1363167	1660	+	0	overlapStart	0	TMEM88B
chr1	1370992	1371096	105	*	X00219	64856	1370903	1378262	7360	+	0	inside	88	VWA1
chr1	1406454	1406516	63	*	X00224	83858	1407164	1444689	37526	+	647	upstream	647	ATAD3B
chr1	1446979	1447098	120	*	X00226	55210	1447523	1470067	22545	+	424	upstream	424	ATAD3A
chr1	1535665	1535729	65	*	X00240	643988	1533388	1535476	2089	-	188	upstream	188	FNDC10
chr1	1712999	1713019	21	*	X00250	65220	1682671	1711508	28838	-	1490	upstream	1490	NADK
